# Porb        q           Ma         Md         M         a          r_r         r_L         beta        q_cr
  23.2852001  0.100000001 2.83999991 0.28000000 6.2087994 50.0074806 0.636677861 0.204610348 0.787371755 0.7891086 
  1.24730003  0.31099999  2.24000001 0.75999999 5.9699997 7.01514244 0.267970949 0.282450944 0.645866692 1.2159993
  3.30550003  0.239999995 1.70000005 0.40000000 4.1790003 11.9277067 0.335469007 0.263129026 0.700238049 1.1078585
  2.33730006  0.150000006 2.02999997 0.33000001 4.6963997 9.84270382 0.483134627 0.230385408 0.744046628 0.9322919 
  2.77449989  0.25        4.69999981 1.20000005 1.1740999 14.9757862 0.324180007 0.266114444 0.689067781 1.1278693
  0.726400018 0.219999999 1.60000002 0.40000001 3.9799999 4.27396393 0.360350847 0.256839871 0.692000031 1.0809993
  4.57289982  0.189999998 2.5        0.50000000 5.9699997 16.6780796 0.404797137 0.246474907 0.720833361 1.0282485
  8.43029976  0.280000001 2.0999999  0.60000002 5.3729995 24.2090759 0.294127017 0.274517328 0.672777772 1.1987749
  3.31769991  0.310000002 2.0999999  0.60000002 5.3729995 13.0017338 0.268749058 0.282205522 0.672777772 1.5136904
  1.80519998  0.219999999 3.9000001  1.10000002 9.9499999 10.6415339 0.360350847 0.256839871 0.674699962 1.0787237
  1.19879997  0.42899999  2.8599999  1.34000003 8.3579993 7.64291954 0.197957337 0.307601422 0.589023829 1.4308259
  2.86549997  0.289999992 5.5999999  1.60000002 1.4327999 16.3514576 0.285205096 0.277153015 0.672777772 1.2037442
  1.54890001  0.209999993 2.70000005 0.60000002 6.5670005 8.36619663 0.374111414 0.253519207 0.707727253 1.0434700
  9.76659966  0.349999994 2.9000001  0.89999998 7.5620002 29.9255791 0.240484864 0.291542947 0.660131574 1.2770506
  3.01990008  0.129999995 6.0999999  0.60000002 1.3332999 16.5322323 0.534558415 0.221024513 0.787537396 0.8786212
  2.64829993  0.150000006 3.29999995 0.50000000 7.5619997 12.5380373 0.483134627 0.230385408 0.751184225 0.9358599
  3.7658      0.25        2.79999995 0.69999999 6.9650000 15.4256010 0.324180007 0.266114444 0.691999972 1.1306006
  2.19239998  0.400000006 3.0        1.20000005 8.3579993 11.4294109 0.211894020 0.302023947 0.617857158 1.3762946
  15.1999998  0.216000006 5.5        1.50000000 1.3930000 49.2635651 0.365740418 0.255526572 0.679642856 1.0918357
  3.27550006  0.140000001 1.89999998 0.30000001 4.3780000 12.0406876 0.507550716 0.225836366 0.747045398 0.8998414 
  1.70120001  0.49000001  2.4000001  1.20000005 7.1640001 9.16800594 0.173472866 0.318347782 0.576666713 1.4871370
  5.93359995  0.119999997 1.79999995 0.30000001 4.1789996 17.6168137 0.564638019 0.215914056 0.741428614 0.8674620
 
