# Porb       q           Ma         Md          M          a          r_r         r_L         beta        q_cr
  4.12279987 0.209999993 1.67999995 0.319999993 3.97999989 13.5974722 0.374111414 0.253519207 0.726599991 1.05798650
  2.86400008 0.223000005 2.25999999 0.500000000 5.49239964 11.8743801 0.356404424 0.257812172 0.708297133 1.09951544       
  1.96659994 0.230000004 1.29999995 0.300000012 3.18399961 7.70658588 0.347499967 0.260040164 0.702812493 1.07613957
  1.19519997 0.351000011 2.0999999  0.740000010 5.65159946 6.69500113 0.239846528 0.291764677 0.639612675 1.30242145
  36.5667992 0.300000012 5.0999999  1.500000000 1.31339998 86.7252350 0.276758015 0.279714316 0.668409109 1.21555996      
  1.81260002 0.469999999 3.77999997 1.529999970 1.05668990 10.8866901 0.180867285 0.314958364 0.615762770 1.47131360
  2.49289989 0.550000012 3.56999993 1.860000010 1.08056993 13.5640688 0.154314116 0.327839285 0.568701684 1.59350777
  12.4200001 0.144999996 2.82999992 0.409999996 6.44759974 33.3076401 0.495044500 0.228141770 0.755540192 0.92167216
  4.90880013 0.430000007 4.5999999  2.000000000 1.31339998 22.7402859 0.197506115 0.307787955 0.602878809 1.42428350      
  1.13590002 0.170000002 1.07000005 0.170000002 2.46759999 4.90981293 0.440630734 0.238807872 0.746411324 0.97641861
  9.48449993 0.09        2.50999999 0.230000004 5.45259999 26.3158760 0.680541754 0.198291332 0.792390466 0.76248675
  21.6431007 0.170000002 3.20000005 0.540000021 7.44260009 50.5940933 0.440630734 0.238807872 0.740106940 0.98026180
  3.45219994 0.289000005 4.73999977 1.460000040 1.23379995 17.6131363 0.286075264 0.276892841 0.661306441 1.20155799
  38.4388008 0.125       3.79999995 0.479999989 8.51719914 77.6078186 0.549179316 0.218509123 0.767990708 0.87070441
  2.80669999 0.469999999 1.70000005 0.800000012 4.97499994 11.3354464 0.180867285 0.314958364 0.588200033 1.46931326
  3.43610001 0.130999997 3.19000006 0.419999987 7.18390024 14.6621056 0.531728268 0.221518442 0.764362812 0.88760024
  2.66420007 0.109999999 1.91999996 0.209999993 4.23869974 10.3793344 0.598407388 0.210461095 0.779718280 0.82730042
  12.2084999 0.254000008 4.4000001  0.800000012 1.03480000 38.5523415 0.319856644 0.267281264 0.731923103 1.09479189
  9.30070019 0.193000004 2.03999996 0.389999986 4.83569965 24.9558773 0.399896443 0.247568518 0.726172864 1.02785838
  1.24349999 0.342000008 3.36999989 1.149999980 8.99479979 8.02576160 0.245702565 0.289749861 0.644922554 1.28927243
  6.95349979 0.224000007 2.63000011 0.589999974 6.40780009 22.5797405 0.355106652 0.258133918 0.706506193 1.08939648
  2.32739997 0.344999999 4.69999981 1.700000050 1.27359985 13.6865425 0.243722513 0.290426403 0.635234356 1.28918982
  11.1129999 0.199000001 5.92999983 1.179999950 1.41488991 40.1899071 0.390423954 0.249715328 0.721441686 1.03976691
  6.47049999 0.310000002 5.9000001  1.799999950 1.53229994 28.7790375 0.268749058 0.282205522 0.662792206 1.21147168
  1.14610004 0.483999997 2.5        1.210000040 7.38289970 7.11684990 0.175632387 0.317343742 0.582884133 1.48412442
  14.1987    0.150000006 2.55999994 0.379999995 5.85060013 35.2554932 0.483134627 0.230385408 0.753197193 0.92150247
  6.86359978 0.270999998 6.23999977 1.690000060 1.57806987 30.2281113 0.302596629 0.272077739 0.680655777 1.16996264
  2.7277     0.284000009 7.30999994 2.069999930 1.86662003 17.2812424 0.290498704 0.275580794 0.674109757 1.19450665
  2.86730003 0.216999993 3.70000005 0.810000002 8.97490027 13.9967232 0.364379108 0.255856723 0.709645212 1.07578397
  3.38059998 0.370000005 4.44999981 1.649999980 1.21389994 17.2748947 0.228267416 0.295878828 0.631024539 1.32840729
  1.18289995 0.519999981 2.68000007 1.230000020 7.78089984 7.39668989 0.163371444 0.323213071 0.592890024 1.52666187
  2.05629992 0.256000012 4.42999983 1.139999990 1.10842987 12.0319128 0.317734122 0.267859012 0.687962294 1.14586151
  3.95300007 0.263000011 7.17999983 1.889999990 1.80492988 21.8836441 0.310503006 0.269852400 0.684751928 1.14099991
  3.06329989 0.247999996 4.76000023 1.179999950 1.18205998 16.0337353 0.326381862 0.265525281 0.693165004 1.13161016
  1.31550002 0.569999993 2.18000007 1.059999940 6.44759974 7.45741606 0.148787975 0.330801934 0.582006216 1.58613729
  2.45490003 0.430000007 5.4000001  2.299999950 1.53229994 15.0834827 0.197506115 0.307787955 0.606623411 1.41606247
  4.47770023 0.310000002 4.4000001  1.399999980 1.15420004 20.4871521 0.268749058 0.282205522 0.656206906 1.18902552
